pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate
707,Garden,Nebraska,26715.0,39400.0,52083.0,1966.0,836.0,0.020313149924092652
708,Bureau,Illinois,26705.0,48977.0,60525.0,34594.0,13998.0,0.04070171784969919
710,Mesa,Colorado,26700.0,49471.0,60534.0,147432.0,58598.0,0.05881194924126822
711,Pickens,Georgia,26686.0,51383.0,59623.0,29486.0,11083.0,0.039070806640379145
712,Nicollet,Minnesota,26674.0,60115.0,71741.0,32849.0,12192.0,0.05293142186816946
713,Spencer,Kentucky,26666.0,65209.0,69980.0,17303.0,6230.0,0.0544086675629259
714,Grant,Minnesota,26665.0,50030.0,61455.0,5990.0,2580.0,0.06454924443496783
716,Kauai,Hawaii,26658.0,62052.0,73205.0,67872.0,22390.0,0.03190378783924073
717,Greenville,South Carolina,26643.0,49022.0,61768.0,459857.0,175149.0,0.08010975940778195
718,Ogle,Illinois,26635.0,54541.0,69172.0,53092.0,20745.0,0.05268465238385258
719,Reagan,Texas,26633.0,61250.0,65600.0,3441.0,1178.0,0.06949042820608413
720,Iowa,Wisconsin,26625.0,55659.0,70079.0,23709.0,9610.0,0.025941290275225067
721,Benton,Iowa,26624.0,56669.0,69676.0,25971.0,10079.0,0.03265634646132057
722,Mercer,Illinois,26620.0,53136.0,63831.0,16325.0,6716.0,0.042318455827471374
723,Ottawa,Kansas,26614.0,58396.0,66085.0,6078.0,2408.0,0.029477083243961092
724,Garfield,Colorado,26603.0,57022.0,66941.0,56687.0,20163.0,0.05350805494451515
725,Jerauld,South Dakota,26590.0,46591.0,54300.0,2055.0,882.0,0.044239898218820246
726,Schoharie,New York,26584.0,53245.0,65610.0,32404.0,12820.0,0.05027204891576588
727,Eaton,Michigan,26582.0,54115.0,65740.0,107920.0,43362.0,0.05248105087728032
728,Essex,New York,26582.0,47380.0,60935.0,39181.0,15919.0,0.045489689572964453
729,Clay,Florida,26577.0,59482.0,68078.0,192665.0,67805.0,0.06855910862897713
730,Brown,Minnesota,26576.0,48256.0,65804.0,25643.0,10820.0,0.03194602289173906
731,Cedar,Iowa,26567.0,58088.0,66176.0,18452.0,7665.0,0.03144158002625087
732,Oklahoma,Oklahoma,26561.0,45215.0,58240.0,732118.0,285320.0,0.07589884399213787
733,York,South Carolina,26553.0,53740.0,66256.0,230934.0,86483.0,0.06719680444340848
734,Hot Springs,Wyoming,26544.0,42019.0,56344.0,4825.0,2238.0,0.07298720697001021
735,Forsyth,North Carolina,26541.0,45724.0,59764.0,354656.0,140439.0,0.083169592833003
737,Washington,Maryland,26532.0,55609.0,66435.0,148435.0,55960.0,0.07423187563318967
738,Whatcom,Washington,26530.0,51939.0,68159.0,203211.0,79314.0,0.07389254559045878
739,Crow Wing,Minnesota,26527.0,47058.0,57958.0,62742.0,26963.0,0.0454665085167043
740,Panola,Texas,26525.0,52453.0,61317.0,23877.0,8873.0,0.046650103929448565
741,Humboldt,Nevada,26515.0,59472.0,74433.0,16800.0,6314.0,0.044091845586349813
742,Kenosha,Wisconsin,26514.0,54930.0,68255.0,166874.0,62560.0,0.06432853838457875
743,McCook,South Dakota,26505.0,52703.0,66106.0,5605.0,2186.0,0.04021598738865705
744,Orleans,Louisiana,26500.0,37146.0,46512.0,357013.0,148398.0,0.06815293081913344
745,Lancaster,Pennsylvania,26496.0,56483.0,67646.0,523306.0,194082.0,0.08095385589217668
747,Martin,Minnesota,26472.0,48530.0,61233.0,20634.0,8797.0,0.05343781501120769
748,Iredell,North Carolina,26467.0,50329.0,60413.0,161297.0,59468.0,0.06587453625004501
749,Guilford,North Carolina,26461.0,45431.0,58551.0,495326.0,196463.0,0.08222669557857139
750,Washington,Iowa,26459.0,54554.0,66967.0,21834.0,8948.0,0.05527881550949505
751,Rock Island,Illinois,26455.0,48702.0,62123.0,147477.0,60456.0,0.07043536584764352
752,Houston,Minnesota,26450.0,52545.0,65646.0,18915.0,7809.0,0.06945865649773662
753,Coke,Texas,26407.0,40795.0,60684.0,3271.0,1436.0,0.06537527569565102
754,Otter Tail,Minnesota,26400.0,48961.0,61645.0,57369.0,24356.0,0.06967819145700935
755,Dorchester,Maryland,26388.0,46361.0,57893.0,32617.0,13386.0,0.05745097769330641
756,Shelby,Iowa,26387.0,48783.0,62273.0,12088.0,5083.0,0.050007638020542165
757,Minnehaha,South Dakota,26380.0,52345.0,66555.0,173108.0,67623.0,0.0862285121867189
758,Highland,Virginia,26372.0,49625.0,56625.0,2276.0,1006.0,0.024537646286909746
759,Grant,Kansas,26370.0,53213.0,59306.0,7869.0,2793.0,0.05883169278074385
760,Fond du Lac,Wisconsin,26368.0,53820.0,65103.0,101666.0,41267.0,0.04616578307792682
761,Lee,Georgia,26357.0,60104.0,67319.0,28631.0,9773.0,0.08065112930403175
762,Sac,Iowa,26350.0,48093.0,61942.0,10227.0,4435.0,0.061511271580282655
763,Lamar,Mississippi,26345.0,51154.0,62945.0,56763.0,21678.0,0.06701624900728205
764,Douglas,Kansas,26342.0,49508.0,70955.0,112210.0,43398.0,0.044631246421472905
765,Platte,Wyoming,26335.0,45512.0,62596.0,8701.0,3642.0,0.05138703147065182
766,Kerr,Texas,26334.0,43601.0,55152.0,49696.0,20357.0,0.060380952381553034
767,Cherokee,Iowa,26330.0,48977.0,61634.0,12013.0,5354.0,0.06617935870001782
768,Wood,Ohio,26326.0,52069.0,69704.0,127325.0,49086.0,0.058524020211873175
769,Washington,Illinois,26325.0,52832.0,64959.0,14626.0,5882.0,0.059209229272029935
770,Putnam,Georgia,26321.0,44764.0,51380.0,21241.0,8457.0,0.05670620668078873
